id,WorkDatasetSize,WorkMethodsFrequency,Frequency
1730,1GB,Bayesian,NA
1731,1GB,Bayesian,NA
1732,100MB,Bayesian,NA
1733,1TB,Bayesian,NA
1734,1GB,Bayesian,NA
1735,NA,Bayesian,NA
1736,100GB,Bayesian,NA
1737,100MB,Bayesian,NA
1738,10GB,Bayesian,Most of the time
1739,100MB,Bayesian,NA
1740,10GB,Bayesian,Often
1741,10GB,Bayesian,NA
1742,1GB,Bayesian,NA
1743,100MB,Bayesian,Sometimes
1744,NA,Bayesian,NA
1745,10GB,Bayesian,NA
1746,NA,Bayesian,NA
1747,1GB,Bayesian,NA
1748,1GB,Bayesian,NA
1749,1GB,Bayesian,NA
1750,10GB,Bayesian,NA
1751,1TB,Bayesian,NA
1752,1GB,Bayesian,NA
1753,100GB,Bayesian,Sometimes
1754,10GB,Bayesian,NA
1755,10GB,Bayesian,NA
1756,10MB,Bayesian,NA
1757,NA,Bayesian,NA
1758,1GB,Bayesian,NA
1759,100GB,Bayesian,NA
1760,10MB,Bayesian,Sometimes
1761,NA,Bayesian,NA
1762,1GB,Bayesian,NA
1763,1GB,Bayesian,Sometimes
1764,1GB,Bayesian,Sometimes
1765,1GB,Bayesian,NA
1766,10GB,Bayesian,NA
1767,100MB,Bayesian,NA
1768,100MB,Bayesian,NA
1769,1GB,Bayesian,Most of the time
1770,10GB,Bayesian,Often
1771,NA,Bayesian,NA
1772,100TB,Bayesian,NA
1773,10GB,Bayesian,NA
1774,10GB,Bayesian,NA
1775,100MB,Bayesian,NA
1776,NA,Bayesian,NA
1777,100GB,Bayesian,NA
1778,NA,Bayesian,NA
1779,NA,Bayesian,NA
1780,NA,Bayesian,NA
1781,100MB,Bayesian,Sometimes
1782,10GB,Bayesian,Most of the time
1783,NA,Bayesian,NA
1784,NA,Bayesian,NA
1785,1EB,Bayesian,NA
1786,100TB,Bayesian,Often
1787,10PB,Bayesian,NA
1788,10GB,Bayesian,NA
1789,1GB,Bayesian,NA
1790,10MB,Bayesian,NA
1791,1GB,Bayesian,Most of the time
1792,10MB,Bayesian,NA
1793,NA,Bayesian,NA
1794,1GB,Bayesian,NA
1795,100MB,Bayesian,NA
1796,1GB,Bayesian,NA
1797,1GB,Bayesian,NA
1798,10GB,Bayesian,NA
1799,1TB,Bayesian,NA
1800,100MB,Bayesian,NA
1801,NA,Bayesian,NA
1802,10GB,Bayesian,Most of the time
1803,1GB,Bayesian,NA
1804,10GB,Bayesian,Often
1805,10MB,Bayesian,NA
1806,<1MB,Bayesian,NA
1807,NA,Bayesian,NA
1808,NA,Bayesian,NA
1809,100GB,Bayesian,NA
1810,NA,Bayesian,NA
1811,10MB,Bayesian,NA
1812,1GB,Bayesian,NA
1813,10GB,Bayesian,Sometimes
1814,10GB,Bayesian,NA
1815,1TB,Bayesian,NA
1816,10GB,Bayesian,NA
1817,100MB,Bayesian,NA
1818,1GB,Bayesian,NA
1819,100GB,Bayesian,Often
1820,100MB,Bayesian,NA
1821,1GB,Bayesian,Most of the time
1822,1GB,Bayesian,Sometimes
1823,NA,Bayesian,NA
1824,100MB,Bayesian,NA
1825,100MB,Bayesian,NA
1826,100MB,Bayesian,NA
1827,10GB,Bayesian,Often
1828,100MB,Bayesian,NA
1829,10GB,Bayesian,NA
1830,100MB,Bayesian,NA
1831,100MB,Bayesian,NA
1832,10MB,Bayesian,NA
1833,10TB,Bayesian,Sometimes
1834,100MB,Bayesian,NA
1835,10GB,Bayesian,NA
1836,1MB,Bayesian,NA
1837,10GB,Bayesian,NA
1838,NA,Bayesian,NA
1839,1GB,Bayesian,Often
1840,1GB,Bayesian,NA
1841,100MB,Bayesian,Most of the time
1842,100GB,Bayesian,NA
1843,NA,Bayesian,NA
1844,100TB,Bayesian,Most of the time
1845,NA,Bayesian,Often
1846,100GB,Bayesian,NA
1847,100PB,Bayesian,NA
1848,NA,Bayesian,NA
1849,100MB,Bayesian,Rarely
1850,1TB,Bayesian,NA
1851,10GB,Bayesian,Often
1852,1GB,Bayesian,NA
1853,100GB,Bayesian,NA
1854,10MB,Bayesian,NA
1855,1GB,Bayesian,Sometimes
1856,NA,Bayesian,NA
1857,100MB,Bayesian,NA
1858,1GB,Bayesian,Often
1859,100MB,Bayesian,NA
1860,10GB,Bayesian,Most of the time
1861,10MB,Bayesian,Sometimes
1862,100MB,Bayesian,Rarely
1863,100GB,Bayesian,Rarely
1864,1GB,Bayesian,NA
1865,1MB,Bayesian,Often
1866,NA,Bayesian,Often
1867,1MB,Bayesian,NA
1868,100MB,Bayesian,NA
1869,NA,Bayesian,NA
1870,1GB,Bayesian,NA
1871,NA,Bayesian,NA
1872,10TB,Bayesian,Sometimes
1873,100GB,Bayesian,NA
1874,100MB,Bayesian,NA
1875,100MB,Bayesian,NA
1876,NA,Bayesian,NA
1877,10MB,Bayesian,NA
1878,1GB,Bayesian,NA
1879,10GB,Bayesian,NA
1880,100MB,Bayesian,NA
1881,NA,Bayesian,NA
1882,10GB,Bayesian,Often
1883,100GB,Bayesian,NA
1884,100GB,Bayesian,Sometimes
1885,100GB,Bayesian,NA
1886,1GB,Bayesian,NA
1887,100MB,Bayesian,NA
1888,NA,Bayesian,NA
1889,NA,Bayesian,Most of the time
1890,NA,Bayesian,NA
1891,<1MB,Bayesian,NA
1892,1GB,Bayesian,Sometimes
1893,NA,Bayesian,NA
1894,10GB,Bayesian,NA
1895,1MB,Bayesian,NA
1896,100MB,Bayesian,NA
1897,1MB,Bayesian,Most of the time
1898,1TB,Bayesian,NA
1899,1GB,Bayesian,NA
1900,100MB,Bayesian,Sometimes
1901,NA,Bayesian,NA
1902,10GB,Bayesian,NA
1903,100GB,Bayesian,NA
1904,1MB,Bayesian,Sometimes
1905,NA,Bayesian,NA
1906,<1MB,Bayesian,NA
1907,NA,Bayesian,NA
1908,NA,Bayesian,NA
1909,10MB,Bayesian,NA
1910,NA,Bayesian,NA
1911,100MB,Bayesian,NA
1912,10GB,Bayesian,Most of the time
1913,1GB,Bayesian,NA
1914,100TB,Bayesian,Sometimes
1915,1GB,Bayesian,Often
1916,NA,Bayesian,NA
1917,NA,Bayesian,NA
1918,1GB,Bayesian,Often
1919,10GB,Bayesian,NA
1920,1GB,Bayesian,NA
1921,100MB,Bayesian,NA
1922,1GB,Bayesian,Most of the time
1923,NA,Bayesian,NA
1924,10GB,Bayesian,NA
1925,NA,Bayesian,NA
1926,1GB,Bayesian,Often
1927,NA,Bayesian,NA
1928,10GB,Bayesian,NA
1929,10GB,Bayesian,Sometimes
1930,NA,Bayesian,NA
1931,10GB,Bayesian,NA
1932,10GB,Bayesian,NA
1933,NA,Bayesian,NA
1934,10GB,Bayesian,NA
1935,100MB,Bayesian,NA
1936,NA,Bayesian,NA
1937,NA,Bayesian,NA
1938,1GB,Bayesian,Most of the time
1939,100GB,Bayesian,NA
1940,10MB,Bayesian,NA
1941,10GB,Bayesian,Sometimes
1942,1GB,Bayesian,NA
1943,100GB,Bayesian,NA
1944,1GB,Bayesian,NA
1945,100GB,Bayesian,NA
1946,NA,Bayesian,NA
1947,NA,Bayesian,NA
1948,NA,Bayesian,NA
1949,NA,Bayesian,NA
1950,10TB,Bayesian,NA
1951,100GB,Bayesian,NA
1952,NA,Bayesian,NA
1953,10MB,Bayesian,NA
1954,NA,Bayesian,NA
1955,1GB,Bayesian,NA
1956,10GB,Bayesian,NA
1957,NA,Bayesian,NA
1958,NA,Bayesian,NA
1959,10GB,Bayesian,NA
1960,NA,Bayesian,Often
1961,1GB,Bayesian,NA
1962,10GB,Bayesian,NA
1963,NA,Bayesian,NA
1964,100GB,Bayesian,NA
1965,10GB,Bayesian,NA
1966,1GB,Bayesian,Sometimes
1967,1GB,Bayesian,NA
1968,100GB,Bayesian,NA
1969,1TB,Bayesian,NA
1970,NA,Bayesian,NA
1971,1TB,Bayesian,NA
1972,100MB,Bayesian,NA
1973,1GB,Bayesian,NA
1974,1TB,Bayesian,Sometimes
1975,100MB,Bayesian,NA
1976,100MB,Bayesian,NA
1977,1GB,Bayesian,NA
1978,1GB,Bayesian,Often
1979,10GB,Bayesian,Often
1980,1GB,Bayesian,NA
1981,1GB,Bayesian,NA
1982,10MB,Bayesian,NA
1983,10TB,Bayesian,Most of the time
1984,1GB,Bayesian,NA
1985,100MB,Bayesian,NA
1986,1GB,Bayesian,NA
1987,100GB,Bayesian,Sometimes
1988,10GB,Bayesian,Sometimes
1989,1GB,Bayesian,NA
1990,100MB,Bayesian,NA
1991,100MB,Bayesian,NA
1992,1GB,Bayesian,Often
1993,1GB,Bayesian,NA
1994,NA,Bayesian,NA
1995,1GB,Bayesian,NA
1996,10GB,Bayesian,Often
1997,1GB,Bayesian,NA
1998,NA,Bayesian,NA
1999,100GB,Bayesian,Often
2000,1TB,Bayesian,NA
2001,10MB,Bayesian,NA
2002,NA,Bayesian,NA
2003,NA,Bayesian,NA
2004,NA,Bayesian,NA
2005,10GB,Bayesian,Sometimes
2006,10GB,Bayesian,NA
2007,NA,Bayesian,NA
2008,NA,Bayesian,NA
2009,100TB,Bayesian,Often
2010,NA,Bayesian,NA
2011,1MB,Bayesian,NA
2012,<1MB,Bayesian,NA
2013,1GB,Bayesian,NA
2014,<1MB,Bayesian,Most of the time
2015,100MB,Bayesian,NA
2016,1TB,Bayesian,NA
2017,<1MB,Bayesian,Often
2018,1GB,Bayesian,NA
2019,1GB,Bayesian,Sometimes
2020,10GB,Bayesian,NA
2021,10GB,Bayesian,NA
2022,NA,Bayesian,NA
2023,10GB,Bayesian,NA
2024,1GB,Bayesian,NA
2025,NA,Bayesian,NA
2026,100MB,Bayesian,NA
2027,10MB,Bayesian,NA
2028,100GB,Bayesian,Often
2029,1GB,Bayesian,NA
2030,1GB,Bayesian,NA
2031,10GB,Bayesian,Most of the time
2032,NA,Bayesian,NA
2033,100GB,Bayesian,NA
2034,100MB,Bayesian,NA
2035,10MB,Bayesian,NA
2036,10GB,Bayesian,NA
2037,10MB,Bayesian,NA
2038,1GB,Bayesian,NA
2039,1GB,Bayesian,NA
2040,NA,Bayesian,NA
2041,1GB,Bayesian,Sometimes
2042,NA,Bayesian,NA
2043,NA,Bayesian,NA
2044,NA,Bayesian,NA
2045,1EB,Bayesian,NA
2046,1GB,Bayesian,NA
2047,10GB,Bayesian,NA
2048,100MB,Bayesian,NA
2049,100GB,Bayesian,Often
2050,10GB,Bayesian,NA
2051,100GB,Bayesian,NA
2052,100MB,Bayesian,NA
2053,100TB,Bayesian,NA
2054,100MB,Bayesian,NA
2055,10MB,Bayesian,NA
2056,1GB,Bayesian,NA
2057,1GB,Bayesian,Sometimes
2058,NA,Bayesian,NA
2059,100MB,Bayesian,Often
2060,1GB,Bayesian,NA
2061,10MB,Bayesian,Most of the time
2062,100MB,Bayesian,NA
2063,10MB,Bayesian,NA
2064,100MB,Bayesian,NA
2065,NA,Bayesian,NA
2066,NA,Bayesian,NA
2067,NA,Bayesian,NA
2068,10GB,Bayesian,NA
2069,NA,Bayesian,NA
2070,1GB,Bayesian,NA
2071,100MB,Bayesian,NA
2072,NA,Bayesian,NA
2073,100MB,Bayesian,NA
2074,1TB,Bayesian,NA
2075,1TB,Bayesian,NA
2076,100MB,Bayesian,NA
2077,NA,Bayesian,NA
2078,100MB,Bayesian,Often
2079,1MB,Bayesian,Sometimes
2080,NA,Bayesian,NA
2081,100GB,Bayesian,NA
2082,1GB,Bayesian,NA
2083,1MB,Bayesian,NA
2084,NA,Bayesian,NA
2085,100GB,Bayesian,NA
2086,1GB,Bayesian,NA
2087,100MB,Bayesian,NA
2088,1GB,Bayesian,NA
2089,NA,Bayesian,NA
2090,10GB,Bayesian,Sometimes
2091,100MB,Bayesian,NA
2092,1TB,Bayesian,Most of the time
2093,<1MB,Bayesian,NA
2094,NA,Bayesian,NA
2095,10GB,Bayesian,Sometimes
2096,NA,Bayesian,NA
2097,10GB,Bayesian,Often
2098,100MB,Bayesian,Often
2099,NA,Bayesian,NA
2100,100GB,Bayesian,Sometimes
2101,10TB,Bayesian,NA
2102,100GB,Bayesian,NA
2103,1GB,Bayesian,NA
2104,NA,Bayesian,NA
2105,NA,Bayesian,NA
2106,NA,Bayesian,NA
2107,NA,Bayesian,NA
2108,10GB,Bayesian,Often
2109,10MB,Bayesian,Often
2110,1GB,Bayesian,Sometimes
2111,NA,Bayesian,NA
2112,NA,Bayesian,NA
2113,10GB,Bayesian,NA
2114,10MB,Bayesian,NA
2115,10MB,Bayesian,NA
2116,10GB,Bayesian,NA
2117,100MB,Bayesian,Sometimes
2118,1GB,Bayesian,Sometimes
2119,NA,Bayesian,NA
2120,100GB,Bayesian,NA
2121,NA,Bayesian,NA
2122,1GB,Bayesian,NA
2123,1GB,Bayesian,NA
2124,NA,Bayesian,NA
2125,1GB,Bayesian,NA
2126,1GB,Bayesian,NA
2127,1GB,Bayesian,NA
2128,100MB,Bayesian,Rarely
2129,NA,Bayesian,NA
2130,100GB,Bayesian,Most of the time
2131,10GB,Bayesian,NA
2132,10MB,Bayesian,Sometimes
2133,10GB,Bayesian,NA
2134,10MB,Bayesian,NA
2135,NA,Bayesian,NA
2136,1GB,Bayesian,NA
2137,NA,Bayesian,NA
2138,1TB,Bayesian,NA
2139,10MB,Bayesian,NA
2140,10MB,Bayesian,Often
2141,NA,Bayesian,NA
2142,NA,Bayesian,NA
2143,100MB,Bayesian,NA
2144,10MB,Bayesian,Most of the time
2145,10GB,Bayesian,NA
2146,10MB,Bayesian,NA
2147,10MB,Bayesian,NA
2148,1TB,Bayesian,NA
2149,NA,Bayesian,NA
2150,1MB,Bayesian,NA
2151,10GB,Bayesian,NA
2152,1TB,Bayesian,NA
2153,100MB,Bayesian,NA
2154,100MB,Bayesian,NA
2155,<1MB,Bayesian,Often
2156,10MB,Bayesian,Often
2157,100GB,Bayesian,NA
2158,100MB,Bayesian,NA
2159,1GB,Bayesian,NA
2160,100MB,Bayesian,NA
2161,NA,Bayesian,NA
2162,10MB,Bayesian,NA
2163,1TB,Bayesian,NA
2164,100GB,Bayesian,NA
2165,<1MB,Bayesian,NA
2166,10GB,Bayesian,NA
2167,1TB,Bayesian,Rarely
2168,NA,Bayesian,NA
2169,10GB,Bayesian,Sometimes
2170,1GB,Bayesian,Often
2171,1GB,Bayesian,Most of the time
2172,1GB,Bayesian,NA
2173,10GB,Bayesian,Often
2174,10GB,Bayesian,Often
2175,1GB,Bayesian,NA
2176,NA,Bayesian,NA
2177,1TB,Bayesian,Sometimes
2178,1GB,Bayesian,Rarely
2179,100MB,Bayesian,NA
2180,10GB,Bayesian,NA
2181,1TB,Bayesian,NA
2182,1GB,Bayesian,Sometimes
2183,1GB,Bayesian,NA
2184,10MB,Bayesian,NA
2185,NA,Bayesian,NA
2186,1GB,Bayesian,NA
2187,100GB,Bayesian,NA
2188,NA,Bayesian,NA
2189,10GB,Bayesian,NA
2190,NA,Bayesian,NA
2191,100MB,Bayesian,NA
2192,10MB,Bayesian,NA
2193,1GB,Bayesian,NA
2194,10GB,Bayesian,Sometimes
2195,NA,Bayesian,NA
2196,1GB,Bayesian,NA
2197,10GB,Bayesian,NA
2198,10GB,Bayesian,NA
2199,NA,Bayesian,NA
2200,1GB,Bayesian,NA
2201,100MB,Bayesian,Sometimes
2202,100MB,Bayesian,NA
2203,1TB,Bayesian,NA
2204,<1MB,Bayesian,Sometimes
2205,1TB,Bayesian,NA
2206,NA,Bayesian,NA
2207,NA,Bayesian,NA
2208,10MB,Bayesian,NA
2209,NA,Bayesian,NA
2210,NA,Bayesian,NA
2211,10MB,Bayesian,NA
2212,NA,Bayesian,NA
2213,1TB,Bayesian,NA
2214,10GB,Bayesian,NA
2215,1GB,Bayesian,NA
2216,100MB,Bayesian,Sometimes
2217,NA,Bayesian,NA
2218,100GB,Bayesian,NA
2219,10MB,Bayesian,Most of the time
2220,100MB,Bayesian,NA
2221,10GB,Bayesian,Most of the time
2222,10GB,Bayesian,NA
2223,1GB,Bayesian,NA
2224,100MB,Bayesian,Often
2225,NA,Bayesian,NA
2226,1GB,Bayesian,NA
2227,NA,Bayesian,NA
2228,10GB,Bayesian,NA
2229,100GB,Bayesian,NA
2230,10GB,Bayesian,NA
2231,100MB,Bayesian,NA
2232,100MB,Bayesian,NA
2233,NA,Bayesian,NA
2234,10GB,Bayesian,NA
2235,10GB,Bayesian,Often
2236,1GB,Bayesian,NA
2237,100GB,Bayesian,Most of the time
2238,100GB,Bayesian,Often
2239,100MB,Bayesian,Sometimes
2240,10MB,Bayesian,NA
2241,1GB,Bayesian,Often
2242,NA,Bayesian,NA
2243,100GB,Bayesian,Sometimes
2244,100MB,Bayesian,Sometimes
2245,1GB,Bayesian,NA
2246,1GB,Bayesian,NA
2247,NA,Bayesian,NA
2248,10MB,Bayesian,Sometimes
2249,1GB,Bayesian,NA
2250,NA,Bayesian,Rarely
2251,1GB,Bayesian,Often
2252,NA,Bayesian,NA
2253,NA,Bayesian,NA
2254,10GB,Bayesian,NA
2255,10GB,Bayesian,NA
2256,100MB,Bayesian,NA
2257,10MB,Bayesian,NA
2258,1TB,Bayesian,NA
2259,NA,Bayesian,NA
2260,10MB,Bayesian,NA
2261,100MB,Bayesian,NA
2262,10GB,Bayesian,NA
2263,10MB,Bayesian,NA
2264,NA,Bayesian,NA
2265,NA,Bayesian,NA
2266,100TB,Bayesian,NA
2267,1TB,Bayesian,NA
2268,100MB,Bayesian,NA
2269,10MB,Bayesian,Often
2270,NA,Bayesian,NA
2271,1MB,Bayesian,NA
2272,10GB,Bayesian,NA
2273,1GB,Bayesian,NA
2274,10GB,Bayesian,NA
2275,NA,Bayesian,NA
2276,100GB,Bayesian,Often
2277,1GB,Bayesian,Sometimes
2278,1GB,Bayesian,NA
2279,10GB,Bayesian,NA
2280,100GB,Bayesian,NA
2281,10GB,Bayesian,Most of the time
2282,1GB,Bayesian,NA
2283,NA,Bayesian,NA
2284,NA,Bayesian,NA
2285,NA,Bayesian,NA
2286,100MB,Bayesian,NA
2287,100GB,Bayesian,NA
2288,10MB,Bayesian,NA
2289,100MB,Bayesian,NA
2290,<1MB,Bayesian,NA
2291,1GB,Bayesian,NA
2292,1GB,Bayesian,NA
2293,10MB,Bayesian,NA
2294,NA,Bayesian,NA
2295,10GB,Bayesian,NA
2296,NA,Bayesian,NA
2297,100GB,Bayesian,Often
2298,10MB,Bayesian,Often
2299,100GB,Bayesian,NA
2300,100MB,Bayesian,NA
2301,NA,Bayesian,NA
2302,100MB,Bayesian,NA
2303,1GB,Bayesian,Often
2304,10MB,Bayesian,NA
2305,100MB,Bayesian,NA
2306,NA,Bayesian,NA
2307,NA,Bayesian,NA
2308,10GB,Bayesian,NA
2309,NA,Bayesian,NA
2310,10MB,Bayesian,NA
2311,10GB,Bayesian,NA
2312,NA,Bayesian,NA
2313,NA,Bayesian,NA
2314,NA,Bayesian,NA
2315,1GB,Bayesian,Rarely
2316,1MB,Bayesian,NA
2317,NA,Bayesian,NA
2318,100MB,Bayesian,NA
2319,NA,Bayesian,NA
2320,NA,Bayesian,NA
2321,100GB,Bayesian,NA
2322,1GB,Bayesian,NA
2323,100GB,Bayesian,NA
2324,NA,Bayesian,NA
2325,10GB,Bayesian,NA
2326,100GB,Bayesian,NA
2327,1GB,Bayesian,NA
2328,NA,Bayesian,NA
2329,10GB,Bayesian,Often
2330,10GB,Bayesian,NA
2331,1GB,Bayesian,NA
2332,1GB,Bayesian,NA
2333,1TB,Bayesian,NA
2334,100MB,Bayesian,Often
2335,1GB,Bayesian,Often
2336,100MB,Bayesian,NA
2337,100MB,Bayesian,NA
2338,NA,Bayesian,NA
2339,10MB,Bayesian,NA
2340,10GB,Bayesian,NA
2341,100GB,Bayesian,NA
2342,NA,Bayesian,NA
2343,10MB,Bayesian,NA
2344,100MB,Bayesian,NA
2345,10GB,Bayesian,Often
2346,1MB,Bayesian,NA
2347,NA,Bayesian,NA
2348,1GB,Bayesian,NA
2349,NA,Bayesian,NA
2350,10MB,Bayesian,NA
2351,100MB,Bayesian,NA
2352,NA,Bayesian,NA
2353,100GB,Bayesian,NA
2354,10GB,Bayesian,NA
2355,1GB,Bayesian,NA
2356,10TB,Bayesian,Often
2357,100GB,Bayesian,NA
2358,1GB,Bayesian,NA
2359,1GB,Bayesian,NA
2360,10MB,Bayesian,NA
2361,1TB,Bayesian,Sometimes
2362,NA,Bayesian,NA
2363,1GB,Bayesian,NA
2364,10MB,Bayesian,Sometimes
2365,1GB,Bayesian,NA
2366,NA,Bayesian,NA
2367,NA,Bayesian,NA
2368,100MB,Bayesian,NA
2369,1GB,Bayesian,NA
2370,NA,Bayesian,NA
2371,NA,Bayesian,NA
2372,10MB,Bayesian,NA
2373,1TB,Bayesian,NA
2374,NA,Bayesian,NA
2375,1GB,Bayesian,Sometimes
2376,1GB,Bayesian,NA
2377,1GB,Bayesian,Most of the time
2378,1GB,Bayesian,NA
2379,10GB,Bayesian,NA
2380,100GB,Bayesian,NA
2381,1GB,Bayesian,NA
2382,100MB,Bayesian,NA
2383,10PB,Bayesian,Sometimes
2384,100GB,Bayesian,NA
2385,1TB,Bayesian,Sometimes
2386,1TB,Bayesian,Sometimes
2387,1GB,Bayesian,NA
2388,NA,Bayesian,NA
2389,100MB,Bayesian,Sometimes
2390,100MB,Bayesian,NA
2391,1GB,Bayesian,NA
2392,NA,Bayesian,NA
2393,1TB,Bayesian,Often
2394,10GB,Bayesian,Often
2395,10GB,Bayesian,NA
2396,100MB,Bayesian,NA
2397,10TB,Bayesian,NA
2398,1TB,Bayesian,Often
2399,10GB,Bayesian,NA
2400,NA,Bayesian,NA
2401,1GB,Bayesian,NA
2402,NA,Bayesian,NA
2403,100GB,Bayesian,Often
2404,10GB,Bayesian,NA
2405,100MB,Bayesian,Sometimes
2406,100MB,Bayesian,NA
2407,100MB,Bayesian,NA
2408,NA,Bayesian,NA
2409,100MB,Bayesian,NA
2410,100GB,Bayesian,NA
2411,10GB,Bayesian,NA
2412,10GB,Bayesian,Sometimes
2413,1GB,Bayesian,NA
2414,100GB,Bayesian,NA
2415,1TB,Bayesian,Rarely
2416,100MB,Bayesian,NA
2417,100GB,Bayesian,NA
2418,1GB,Bayesian,NA
2419,1GB,Bayesian,Sometimes
2420,NA,Bayesian,NA
2421,NA,Bayesian,NA
2422,1GB,Bayesian,Often
2423,100GB,Bayesian,NA
2424,100GB,Bayesian,NA
2425,10GB,Bayesian,Most of the time
2426,<1MB,Bayesian,NA
2427,NA,Bayesian,NA
2428,NA,Bayesian,NA
2429,10MB,Bayesian,NA
2430,NA,Bayesian,NA
2431,NA,Bayesian,NA
2432,1GB,Bayesian,NA
2433,NA,Bayesian,NA
2434,10MB,Bayesian,NA
2435,NA,Bayesian,NA
2436,NA,Bayesian,NA
2437,100PB,Bayesian,NA
2438,NA,Bayesian,NA
2439,10GB,Bayesian,NA
2440,100GB,Bayesian,NA
2441,NA,Bayesian,NA
2442,NA,Bayesian,NA
2443,NA,Bayesian,NA
2444,10GB,Bayesian,NA
2445,NA,Bayesian,NA
2446,10TB,Bayesian,NA
2447,100GB,Bayesian,NA
2448,10PB,Bayesian,Most of the time
2449,100MB,Bayesian,NA
2450,100GB,Bayesian,Often
2451,NA,Bayesian,NA
2452,NA,Bayesian,NA
2453,NA,Bayesian,NA
2454,10GB,Bayesian,NA
2455,NA,Bayesian,NA
2456,100MB,Bayesian,NA
2457,100GB,Bayesian,NA
2458,10GB,Bayesian,NA
2459,1GB,Bayesian,NA
2460,10GB,Bayesian,Sometimes
2461,1TB,Bayesian,NA
2462,10MB,Bayesian,NA
2463,1GB,Bayesian,NA
2464,100MB,Bayesian,NA
2465,1GB,Bayesian,Often
2466,100MB,Bayesian,NA
2467,NA,Bayesian,NA
2468,1GB,Bayesian,NA
2469,NA,Bayesian,NA
2470,10GB,Bayesian,NA
2471,10MB,Bayesian,NA
2472,NA,Bayesian,NA
2473,100MB,Bayesian,Sometimes
2474,1GB,Bayesian,NA
2475,10GB,Bayesian,NA
2476,1GB,Bayesian,NA
2477,10MB,Bayesian,NA
2478,1GB,Bayesian,Often
2479,100GB,Bayesian,Rarely
2480,NA,Bayesian,NA
2481,1GB,Bayesian,NA
2482,1GB,Bayesian,Sometimes
2483,10GB,Bayesian,NA
2484,10GB,Bayesian,NA
2485,NA,Bayesian,NA
2486,10GB,Bayesian,Rarely
2487,NA,Bayesian,NA
2488,NA,Bayesian,NA
2489,10GB,Bayesian,NA
2490,NA,Bayesian,Most of the time
2491,NA,Bayesian,NA
2492,1GB,Bayesian,Rarely
2493,NA,Bayesian,NA
2494,NA,Bayesian,NA
2495,1TB,Bayesian,NA
2496,NA,Bayesian,NA
2497,NA,Bayesian,NA
2498,10MB,Bayesian,NA
2499,1MB,Bayesian,Often
2500,100GB,Bayesian,NA
2501,NA,Bayesian,NA
2502,NA,Bayesian,NA
2503,NA,Bayesian,NA
2504,NA,Bayesian,NA
2505,NA,Bayesian,NA
2506,NA,Bayesian,NA
2507,1GB,Bayesian,Rarely
2508,NA,Bayesian,NA
2509,1MB,Bayesian,Most of the time
2510,10MB,Bayesian,Sometimes
2511,NA,Bayesian,NA
2512,1GB,Bayesian,NA
2513,10GB,Bayesian,NA
2514,NA,Bayesian,NA
2515,10GB,Bayesian,Often
2516,NA,Bayesian,NA
2517,NA,Bayesian,NA
2518,NA,Bayesian,NA
2519,NA,Bayesian,NA
2520,10GB,Bayesian,NA
2521,NA,Bayesian,NA
2522,100MB,Bayesian,NA
2523,10GB,Bayesian,NA
2524,NA,Bayesian,NA
2525,NA,Bayesian,NA
2526,1GB,Bayesian,NA
2527,NA,Bayesian,NA
2528,1TB,Bayesian,NA
2529,10MB,Bayesian,NA
2530,1TB,Bayesian,NA
2531,NA,Bayesian,NA
2532,NA,Bayesian,NA
2533,<1MB,Bayesian,NA
2534,NA,Bayesian,NA
2535,NA,Bayesian,NA
2536,NA,Bayesian,NA
2537,1MB,Bayesian,NA
2538,NA,Bayesian,NA
2539,NA,Bayesian,NA
2540,NA,Bayesian,NA
2541,NA,Bayesian,NA
2542,NA,Bayesian,NA
2543,1PB,Bayesian,NA
2544,NA,Bayesian,NA
2545,NA,Bayesian,NA
2546,100TB,Bayesian,NA
2547,NA,Bayesian,NA
2548,10GB,Bayesian,NA
2549,10GB,Bayesian,NA
2550,10MB,Bayesian,NA
2551,10GB,Bayesian,NA
2552,NA,Bayesian,NA
2553,10GB,Bayesian,NA
2554,NA,Bayesian,NA
2555,NA,Bayesian,NA
2556,10GB,Bayesian,NA
2557,NA,Bayesian,NA
2558,NA,Bayesian,NA
2559,NA,Bayesian,NA
2560,100GB,Bayesian,NA
2561,NA,Bayesian,NA
2562,NA,Bayesian,NA
2563,1TB,Bayesian,Most of the time
2564,NA,Bayesian,NA
2565,NA,Bayesian,NA
2566,NA,Bayesian,NA
2567,NA,Bayesian,NA
2568,NA,Bayesian,NA
2569,NA,Bayesian,NA
2570,NA,Bayesian,NA
2571,NA,Bayesian,NA
2572,NA,Bayesian,NA
2573,NA,Bayesian,NA
2574,NA,Bayesian,NA
2575,NA,Bayesian,NA
2576,NA,Bayesian,NA
2577,10GB,Bayesian,Sometimes
2578,100MB,Bayesian,NA
2579,1GB,Bayesian,NA
2580,NA,Bayesian,NA
2581,NA,Bayesian,NA
2582,10GB,Bayesian,NA
2583,NA,Bayesian,NA
2584,1TB,Bayesian,NA
2585,NA,Bayesian,NA
2586,NA,Bayesian,NA
2587,NA,Bayesian,NA
2588,NA,Bayesian,NA
2589,1GB,Bayesian,NA
2590,NA,Bayesian,NA
2591,NA,Bayesian,NA
2592,10GB,Bayesian,NA
2593,10MB,Bayesian,NA
2594,100GB,Bayesian,NA
2595,NA,Bayesian,NA
2596,NA,Bayesian,NA
2597,NA,Bayesian,NA
2598,NA,Bayesian,NA
